Date,Signal Time,Symbol,Direction,Conviction,Weighted Premium,Spot,Short Strike,Long Strike,Expiration,Raw Credit,Slippage,Net Credit,Spread Width,Credit Ratio,Quantity,Polygon Bars
2025-03-03,14:35,GOOGL,bullish,100.00%,619472,172.96,167.5,165.0,2025-03-07,1.10,0.10,1.00,2.5,40.00%,10,357
2025-03-03,14:45,AMZN,bullish,91.49%,6087706,211.19,205,200,2025-03-07,1.74,0.10,1.64,5,32.80%,10,383
2025-03-03,14:55,ORCL,bullish,100.00%,711791,164.70,160.0,157.5,2025-03-07,0.79,0.10,0.69,2.5,27.60%,10,106
2025-03-03,15:40,ABBV,bearish,96.09%,2374492,210.97,215,220,2025-03-07,0.75,0.10,0.65,5,13.00%,10,60
2025-03-03,16:10,LLY,bullish,100.00%,1260827,925.50,900,890,2025-03-07,1.31,0.10,1.21,10,12.10%,5,240
2025-03-04,14:35,AVGO,bearish,100.00%,590061,186.39,192.5,195.0,2025-03-07,1.02,0.10,0.92,2.5,36.80%,10,304
2025-03-04,14:40,AAPL,bullish,90.47%,2154553,238.35,230,225,2025-03-07,0.75,0.10,0.65,5,13.00%,10,289
2025-03-05,14:35,IWM,bearish,100.00%,8918188,206.09,210,215,2025-03-14,2.03,0.10,1.93,5,38.60%,10,316
2025-03-05,14:35,META,bearish,91.05%,1974634,644.94,660,670,2025-03-14,4.66,0.10,4.56,10,45.60%,10,478
2025-03-06,14:30,SPY,bullish,97.01%,2105556,579.71,560,550,2025-03-14,1.81,0.10,1.71,10,17.10%,7,565
2025-03-06,14:35,SMH,bullish,100.00%,681275,220.99,215,210,2025-03-14,1.68,0.10,1.58,5,31.60%,10,184
2025-03-07,14:55,COST,bearish,90.37%,2688530,975.32,1000,1010,2025-03-14,1.38,0.10,1.28,10,12.80%,7,112
2025-03-07,15:50,CRM,bullish,100.00%,508764,281.17,275,270,2025-03-14,1.39,0.10,1.29,5,25.80%,10,119
